name,type,address,latitude,longitude,freguesia,opening_hours
EuroBic,bank,nan nan,41.1658871,-8.6484443,Ramalde,
ABANCA,bank,nan Avenida do Bessa,41.16554739405521,-8.64382957850526,Ramalde,Mo-Fr 08:30-15:00
Banco do Brasil AG Porto,bank,,41.161683,-8.6278416,,
Crédito Agrícola - Pinheiro Manso Porto,bank,nan nan,41.165997,-8.648664,Ramalde,
Novo Banco,bank,,41.1592205,-8.6377447,,Mo-Fr 08:30-15:00
Caixa Geral de Depósitos,bank,nan nan,41.1464986,-8.5958431,Porto,
Crédito Agrícola,bank,nan nan,41.157084,-8.6300323,Porto,
EuroBic,bank,,41.1461933,-8.6138526,,
Banco Internacional do Funchal,bank,nan nan,41.1612588,-8.5989704,Porto,
Banco Santander,bank,nan nan,41.1532201,-8.6055462,Porto,
Santander,bank,,41.16336794360592,-8.663569959534858,,
BBVA,bank,,41.1578991,-8.6798476,,
Santander,bank,nan nan,41.16336794360592,-8.663569959534858,Porto,
Santander,bank,nan nan,41.16046771708229,-8.642408264386999,Ramalde,
Banco Popular,bank,nan nan,41.1499046,-8.6760501,Porto,
Barclays,bank,,41.1624527,-8.598209,,
Invest,bank,nan nan,41.1565942,-8.6284096,Porto,
Banco carregosa,bank,nan nan,41.1590066,-8.6364854,Porto,
BPI,bank,Avenida dos Aliados,41.1471356,-8.6109024,,
Millennium bcp,bank,nan nan,41.164064,-8.6208177,Porto,
Banco BPI,bank,nan nan,41.1590535,-8.6367915,Porto,
Novo Banco,bank,nan nan,41.1592205,-8.6377447,Porto,Mo-Fr 08:30-15:00
Caixa Geral de Depósitos,bank,nan nan,41.1605475,-8.6441418,Ramalde,
Caixa Geral de Depósitos,bank,,41.1464986,-8.5958431,,
Big - Banco de Investimento Global,bank,Avenida dos Aliados,41.1473722,-8.6108526,,Mo-Fr 09:00-16:00
Millennium bcp,bank,,41.164064,-8.6208177,,
Banco Internacional do Funchal,bank,,41.1612588,-8.5989704,,
Banco Português de Investimento,bank,nan nan,41.14777611129084,-8.620694763113068,Porto,
Banco Português de Investimento,bank,,41.14777611129084,-8.620694763113068,,
EuroBic,bank,nan nan,41.1461933,-8.6138526,Porto,
Big - Banco de Investimento Global,bank,46;48;50 Avenida dos Aliados,41.1473722,-8.6108526,Porto,Mo-Fr 09:00-16:00
BPI,bank,32 Avenida dos Aliados,41.1471356,-8.6109024,Porto,
BIG,bank,,41.1630886,-8.6640678,,
Barklays,bank,nan nan,41.147993,-8.6081029,Porto,
Santander Totta,bank,,41.1728573,-8.6127532,,
Banco Popular,bank,,41.1499046,-8.6760501,,
Best,bank,nan nan,41.1631105,-8.6471814,Ramalde,
Novo Banco,bank,653 Rua de São João de Brito,41.1673994,-8.649665,Ramalde,08:30-15:00
Montepio,bank,nan nan,41.1569306,-8.6225976,Porto,
