name,type,address,latitude,longitude,freguesia,opening_hours
Riquinha,clothes,Rua Sá da Bandeira 778,41.152923,-8.6053928,,
Auto Industrial (Opel/Chevrolet),car, ,41.1533169,-8.6057293,,
Droper,clothes, ,41.1508852,-8.6060714,,
Arneto,clothes, ,41.1510448,-8.605543,,
Paiva & Faria Lda.,fabric, ,41.1507034,-8.6065488,,
Cortina,clothes, ,41.1508852,-8.6062109,,
Colorfoto,photo, ,41.1507701,-8.6066776,,
M. Russo,hairdresser, ,41.149969,-8.6061643,,
Mundiclasse Viagens,travel_agency, ,41.1495119,-8.6042156,,
Lenita Comercial Papelaria,stationery, ,41.1496108,-8.604221,,
Ervanária Kimbanda,yes, ,41.1497169,-8.6042344,,
Semavitur Viagens,travel_agency, ,41.1498048,-8.6042398,,
Loja Solidária REMAR,charity, ,41.150868,-8.6047557,,
A Lavandeira Conceição - Lavandaria Self-Service,laundry,Rua da Conceição 23,41.1499162,-8.6134909,,Mo-Su 06:00-00:00
Confeitaria Petúlia,bakery,Rua de Júlio Dinis 775,41.1554947,-8.6275406,,
,hairdresser,Rua de Alves Redol 397,41.1612747,-8.6160424,,
Armazém 14,books, ,41.1435346,-8.6142375,,
Minipreço Express,supermarket, ,41.1451479,-8.6122557,,Mo-Su 08:00-21:00
Taberna do Largo,alcohol, ,41.1433846,-8.6147166,,
Centro Comercial da Foz,mall, ,41.1591635,-8.6834195,,
MA by Maria Antónia,clothes, ,41.1498651,-8.614888,,
Chaves do Marquês,locksmith,Rua de Faria Guimarães 715,41.163525,-8.606617,,"Mo-Fr 09:00-13:00,14:30-19:30; Sa 09:00-13:00"
Climaestore,window_blind,Rua de Faria Guimarães 715,41.1635177,-8.6066204,,"Mo-Sa 09:00-13:00,14:30-19:00"
IdeiasAmuitas,printing,Rua Professor Bento de Jesus Caraça 93,41.1620989,-8.5981886,,"Mo-Fr 09:00-13:00, 14:30-20:00"
SaltPlace,beauty,Avenida de Rodrigues de Freitas 360,41.1455135,-8.6047128,,Mo-Su 09:30-19:00
Boutique dos Relógios Plus,watches,Avenida dos Aliados 127,41.1481548,-8.6114604,,
Ginginha do Porto,alcohol, ,41.1448751,-8.6076686,,
,clothes, ,41.1494013,-8.6035695,,Mo-Fr 09:00-20:00; Sa 09:00-18:00
Cristina Gonçalves,hairdresser, ,41.1508777,-8.6037519,,
Branco & Silva Gomes,clothes, ,41.1508796,-8.6039423,,
F. Gonçalves Alfaiate,clothes, ,41.1491397,-8.6024214,,
Sofia Decorações,furniture, ,41.1491336,-8.6024911,,
Órbita Viagens,travel_agency, ,41.1492376,-8.6022095,,
Bela Jóia,jewelry, ,41.1524622,-8.6047017,,
Paragon Outlet,clothes, ,41.1474406,-8.607931,,
Dio Mio,clothes, ,41.1471407,-8.6070968,,
Miss 101,clothes,Rua de Santa Catarina 101,41.1471803,-8.6068369,,
Ferlai,clothes, ,41.1474892,-8.6084762,,
Charles,clothes, ,41.1475846,-8.6084178,,
Teresinha Carteiras,bag, ,41.1485419,-8.6078388,,
Nicoleto,kiosk, ,41.148441,-8.6070445,,
Casa das Colchas,furniture, ,41.1485014,-8.6072111,,
Boa Ideia,shoes, ,41.1468777,-8.6039415,,
Sirgaria Branca,furniture, ,41.1467524,-8.6039308,,
Adão Oculista,optician,Rua de Santa Catarina 287,41.1487444,-8.6062838,,
Força Portugal,clothes, ,41.1481889,-8.6064839,,
Talho Bolhão,butcher, ,41.1485303,-8.6073074,,
Eureka,clothes, ,41.1472669,-8.6076285,,
Armazém dos Linhos,fabric, ,41.1473326,-8.6079753,,"Mo-Fr 10:00-19:00; Sa 10:00-13:00,14:30-18:00"
Continente,supermarket, ,41.1487192,-8.6080447,,
Fátima Leite,clothes, ,41.1488243,-8.6101069,,
Meta da Sorte,kiosk, ,41.1487842,-8.6100638,,
Contraste,jewelry, ,41.1483077,-8.6096107,,
Star,travel_agency, ,41.1487071,-8.6104396,,
Filinto Mota,car, ,41.1485141,-8.610482,,
A Baratinha,clothes, ,41.1486354,-8.6104608,,
Pinheiro da Rocha,clothes, ,41.1486636,-8.6096638,,
Ouro usado,jewelry, ,41.1490342,-8.6099898,,
Casa Lima,furniture, ,41.1490715,-8.6099579,,
Só Chaves,locksmith, ,41.1490532,-8.6098399,,
Dame Chic,clothes, ,41.1490477,-8.6097999,,
Marçal,jewelry,Rua de Guilherme da Costa Carvalho 11,41.1490367,-8.6097074,,
B the travel brand,travel_agency, ,41.1490332,-8.6093315,,
Cavalinho,clothes,Rua Formosa 409,41.1489311,-8.6087685,,Mo-Sa 10:00-19:00; Su 14:00-18:00
Maria Boneca,clothes,"Rua do Bonjardim 361,363,365",41.1502793,-8.6093975,,
Ourivesaria Bonjardim,jewelry, ,41.1503641,-8.609247,,
Favorita Bolhão,convenience,Rua Fernando Tomás 783,41.1501379,-8.6077801,,
Diego Martín,clothes, ,41.1503661,-8.6087186,,
Fama,hairdresser, ,41.1503096,-8.6085094,,
Casa Natal,greengrocer, ,41.1502146,-8.6083726,,
Antoniu's,jewelry, ,41.1502045,-8.6081047,,
Casa Ramos,greengrocer, ,41.1492895,-8.6077882,,
Liliana Gomes,clothes, ,41.1494286,-8.607718,,
Miacomigo,clothes, ,41.1489887,-8.6083887,,
Enzeta Fardas,clothes, ,41.1490998,-8.608684,,
Tavares,jewelry,Rua Formosa 412,41.1491563,-8.6089741,,
Cata,shoes, ,41.150385,-8.6081644,,
Reino de Iemanjá,religion, ,41.1519465,-8.6068908,,
Conta Capital: Soluções Financeiras,money_lender, ,41.152109,-8.6064042,,
El Corte Inglés,travel_agency, ,41.1513234,-8.6066643,,
Pinhos,optician, ,41.1511214,-8.6064605,,
Carlin,stationery, ,41.1516143,-8.6061571,,
Turquia no Porto,gift, ,41.151899,-8.6055966,,
Salon Krasoty,hairdresser,Rua de Guedes de Azevedo 21,41.1518445,-8.6053608,,
Downtown,clothes, ,41.1518707,-8.6054788,,
Paneuropa,travel_agency, ,41.1519597,-8.6051111,,
Portoluz,furniture, ,41.1520565,-8.6055378,,
Autolândia,car_parts, ,41.1520868,-8.6056666,,
Home Atitude,furniture, ,41.15304,-8.6053313,,
ExChange,money_lender, ,41.1510871,-8.6054466,,
António M. Saraiva,yes, ,41.1510528,-8.6060528,,
Mygod,vacant,Rua de Santa Catarina 417,41.1498793,-8.605853,,Mo-Sa 10:00-19:00
Bruxelas,clothes, ,41.1499688,-8.6062693,,
Óptica Bolhão,optician, ,41.1500238,-8.6065275,,
Mercados das Malhas,fabric, ,41.150054,-8.6066576,,
Beleza,shoes, ,41.1501453,-8.6069988,,
Belomundo,kiosk, ,41.1508912,-8.6051301,,
Goes & Guerra,clothes, ,41.1508792,-8.6049072,,
Frutaria Firmeza,greengrocer, ,41.150868,-8.6043428,,
Ara,clothes, ,41.1495502,-8.6050601,,
,vacant,Rua de Santa Catarina 390,41.149636,-8.6057418,,
Rússia no Porto,clothes,Rua de Fernandes Tomás 561,41.1495931,-8.6052467,,
Dani Home,fabric, ,41.149489,-8.6048127,,
Prata da Casa,jewelry, ,41.1494371,-8.6048751,,
Graça Batista,jewelry, ,41.1494716,-8.6047308,,
A Toga: art. académicos,clothes, ,41.1493535,-8.6043728,,
,vacant, 161,41.1489184,-8.604136,,
Electro Verisantos,electrical, ,41.148043,-8.604055,,
Fabio's,clothes, ,41.1478631,-8.6041059,,
Music Shop,music, ,41.1478793,-8.6044573,,
Vidros e Espelhos,glaziery, ,41.147956,-8.6045014,,
Só Música,music, ,41.1481004,-8.6051478,,
Ourivesaria Económica,jewelry, ,41.1481035,-8.6052954,,
Tupael: Mat. Elétrico,electrical, ,41.1478246,-8.603816,,
Genialbijoux,gift, ,41.1476612,-8.6036205,,
Carry,hairdresser, ,41.1475035,-8.6030784,,
Neves & Augusto Ferragens,hardware, ,41.1476612,-8.6030733,,
Manuel Ferreira,books, ,41.1487539,-8.6031377,,
Isabel Figueiras,hairdresser, ,41.1489053,-8.6031964,,
Mundo Columbófilo,pet, ,41.1479781,-8.6029791,,
Campos & Cardoso Reparações,hifi, ,41.1484893,-8.6038953,,
MEO,mobile_phone, ,41.1491093,-8.6032366,,
,vacant, ,41.1493457,-8.6041864,,
Barbearia Apolo,hairdresser, ,41.1473501,-8.602451,,
Bellpé,shoes, ,41.1472754,-8.6021721,,
Pluricosmética,cosmetics, ,41.1489942,-8.6026331,,
Garrafeira São Lázaro,wine,Largo do Padrão ,41.1471138,-8.6022128,,
Dragão,kiosk, ,41.1471543,-8.6022774,,
Natalina Ferreira,hairdresser, ,41.1470572,-8.6023525,,
Controlex,electronics, ,41.1471967,-8.6024786,,
Sanitária,furniture, ,41.1473158,-8.6029546,,
Douro Lingerie,clothes, ,41.1469441,-8.6025187,,
Santo Ildefonso,greengrocer, ,41.1468735,-8.6032457,,
Lutel iluminação,electrical, ,41.147347,-8.6030993,,
Ludite,greengrocer, ,41.1473784,-8.6032146,,
Bela Prata,jewelry, ,41.1473349,-8.6034037,,
Canin,pet, ,41.1474188,-8.603377,,
Sónia Pratas,jewelry, ,41.1474501,-8.6034963,,
Rock Music,music, ,41.147451,-8.6036103,,
Sonho de Pedra,jewelry, ,41.1474875,-8.6036666,,
Bebédutom,clothes, ,41.1474834,-8.6037551,,
Garrafeira do Porto,alcohol, ,41.1468734,-8.6037443,,
Compro Ouro,pawnbroker, ,41.1466634,-8.6035941,,
Carvalhais,optician, ,41.1467017,-8.6035056,,
Mendes,shoes, ,41.1466665,-8.602068,,
Super-rápido Numi,shoes, ,41.146606,-8.6020626,,
D. João IV,kiosk, ,41.146802,-8.6020763,,
Majestade,fabric, ,41.1468908,-8.6020977,,
Flama,electronics, ,41.1468291,-8.6023416,,
Os Vinte e Um,clothes, ,41.146811,-8.6024155,,
Pautónia,clothes, ,41.1467888,-8.6024812,,
São Lázaro,kiosk, ,41.1464474,-8.6021929,,"Mo-Fr 08:00-13:00, 15:00-18:00"
Casa Correia,shoes, ,41.1467432,-8.6026956,,
Padouro,bakery, ,41.1467332,-8.6027708,,
Maaj,jewelry, ,41.1466453,-8.6030457,,
Xique,clothes, ,41.1466312,-8.6029518,,
Antiquários do Ouro,pawnbroker,Rua de Santa Catarina 269,41.148637,-8.6064284,,
Ourivesaria Dolar,pawnbroker;jewelry,Rua de Cedofeita 348,41.1519135,-8.61769,,"Mo-Sa 10:00-13:00,14:00-18:00"
,laundry, ,41.1616872,-8.6069842,,
Pingo Doce,supermarket,Rua de Cedofeita 435,41.1531756,-8.6182789,,Mo-Su 08:30-21:00
Seara D'Ouro,bakery, ,41.1735691,-8.6028004,,
Aromas de Trás-os-Montes,greengrocer, ,41.1735805,-8.6026538,,
Boémia,bakery, 28,41.1592253,-8.6286084,,
claire's,fashion_accessories,Rua de Santa Catarina ,41.1481326,-8.6065042,,
Bazar Mabril,convenience,Rua de Santa Catarina 299,41.1488302,-8.606252,,
Cabeleireiro Salão Zorba,hairdresser,Rua de Santa Catarina 286,41.1486857,-8.6060698,,
Cortefiel,clothes,Rua de Santa Catarina 294,41.1487102,-8.6060606,,
Diego Martin,clothes, ,41.1461162,-8.6069476,,
Branca de Neve,shoes,Rua de Santa Catarina 304,41.1488473,-8.6060272,,
Onório Fonseca Cabeleireiros,hairdresser,Rua de Santa Catarina 42,41.1465517,-8.6068135,,
Marques Soares,clothes,Rua de Santa Catarina 39,41.1465383,-8.6071074,,
Pollux - Casa e Decoração,interior_decoration,Rua de Santa Catarina 300,41.1487997,-8.6060374,,Mo-Sa 10:00-19:00
Pé de Meia,clothes,Rua de Santa Catarina 209,41.1480431,-8.6065369,,
Óptica Lima,optician,Rua de Santa Catarina 362,41.149333,-8.6058608,,
Óptica do Porto,optician,Rua de Santa Catarina 29,41.1464605,-8.6071323,,
Rui & Valdemar,hardware, ,41.1506704,-8.6092518,,
FC Porto Store,clothes, ,41.1606279,-8.5831839,,
Bosch,car_parts,Rua Pinto Bessa ,41.1503747,-8.5914891,,"Mo-Sa 09:00-12:30, 14:30-18:00"
Citroën,car,Rua Pinto Bessa 558,41.1505716,-8.5922205,,"Mo-Sa 08:00-12:30, 14:30-18:00; Su 14:30-18:30"
LeYa na Latina,books,Rua de Santa Catarina 2;6;8,41.1462484,-8.6069903,,Mo-Sa 09:00-19:00
Óptica Mutualista,optician,Rua do Doutor Magalhães Lemos 85,41.1475795,-8.6099806,,Mo-Fr 09:00-19:00; Sa 09:00-13:00
Novacambios,kiosk, ,41.1468659,-8.6103647,,
,kiosk, ,41.1474825,-8.6093586,,
Fotosport,photo, ,41.1474286,-8.6092068,,
Tubitek,music,Praça de Dom João I 31,41.1474216,-8.6091705,,"Mo-Fr 10:00-20:00; Sa 10:00-13:30,14:30-19:30; Su off"
AFF Fotografia,photo,Rua do Bonjardim 142,41.1472768,-8.6094401,,Mo-Fr 10:00-19:00; Sa 09:30-13:00
Nórton,hairdresser, ,41.147283,-8.6093162,,
Mundo Místico,mystical,Rua do Bonjardim 146,41.1473192,-8.6094211,,
Talhos Boavista,butcher, ,41.1471924,-8.6088993,,
Jorge Campos,hifi, ,41.147169,-8.6093886,,
Amor Português,yes, ,41.1470658,-8.6094179,,
Retina,optician, ,41.1467177,-8.6102629,,
Capri,bag, ,41.1467439,-8.6103916,,
Lotarias Atlântico,lottery, ,41.1468079,-8.6107274,,
Oficina do Cabelo,hairdresser, ,41.1463643,-8.6104103,,
Leica,photo, ,41.1464389,-8.6098259,,
Âncora,jewelry, ,41.1461565,-8.6100341,,
Twenty Outlet,clothes, ,41.146555,-8.6096582,,
Tricots Brancal,sewing, ,41.1461695,-8.6096299,,
Correia d'Abreu,furniture, ,41.1461837,-8.6089532,,
Dance Planet,musical_instrument, ,41.1467537,-8.6089175,,
Armazém do Café,coffee, ,41.1468169,-8.608873,,
Maria Marques,clothes, ,41.1462072,-8.6082109,,
Galera Noivas,clothes, ,41.1462071,-8.6080932,,
Baptista,jewelry, ,41.1472543,-8.6086379,,
Garage & Stage - Music Store,musical_instrument,Rua de Sá da Bandeira 150,41.147277,-8.6086043,,
Mesquita,photo, ,41.1472307,-8.6084849,,
Cunha Rodrigues,clothes, ,41.1471932,-8.6082583,,
Premier,clothes, ,41.1470922,-8.6077299,,
Dipol,interior_decoration, ,41.146301,-8.6071995,,
Outlet Voltage,clothes, ,41.1462178,-8.6073367,,
Fnac,books,Rua Santa Catarina 73,41.1469797,-8.6071738,,Mo-Sa 10:00-22:00; Su 10:00-20:00
,vacant,Rua Heróis e Mártires de Angola ,41.1514524,-8.6108261,,
Vânia Silva,hairdresser,Rua do Bonjardim 762,41.1538636,-8.6077099,,Tu-Sa 10:00-19:00
Meu Super,convenience,Rua do Doutor Alfredo Magalhães 94,41.1548774,-8.609095,,Mo-Fr 08:00-20:00; Sa 08:30-20:00; PH off
Pingo Doce,supermarket,Rua de São João de Brito ,41.1669392,-8.6494979,,08:30-21:00
Tabacaria Santo António,kiosk, ,41.1460234,-8.6104324,,
Costa Real,vacant, ,41.1460473,-8.6100988,,
Cartbel - Sapatos Carteiras,shoes,Rua 31 de Janeiro 34,41.1460473,-8.6100422,,Mo-Sa 10:00-19:00
Moutinho Opticas,optician,Rua 31 de Janeiro 52,41.1460466,-8.6098742,,
Mass Perfumarias,perfumery,Rua 31 de Janeiro 66,41.1460496,-8.6097052,,
AJI - Carteiras / Marroquinaria,shoes,Rua 31 de Janeiro 84,41.1460576,-8.6094534,,
Cândida Teixeira,shoes,Rua 31 de Janeiro 98,41.1460633,-8.6093096,,
Gab - Grandes Armazéns da Beira,vacant,Rua 31 de Janeiro 106,41.1460651,-8.6091882,,
Souvenir Portugal,vacant,Rua 31 de Janeiro 128,41.1460616,-8.6089116,,
Galeria da Jóia,jewelry,Rua 31 de Janeiro 184A,41.1460785,-8.6080698,,
,vacant,Rua 31 de Janeiro 138,41.1460711,-8.6088546,,
António Faria,hairdresser, ,41.1459683,-8.6088516,,
Morgana,shoes,Rua 31 de Janeiro 152,41.1460699,-8.6086487,,
Portugalidades - Artesanato,vacant,Rua 31 de Janeiro 158,41.1460623,-8.6085807,,
,vacant,Rua 31 de Janeiro 164,41.1460739,-8.6084147,,
Vicent,clothes,Rua 31 de Janeiro 174,41.1460716,-8.6082786,,
,vacant,Rua 31 de Janeiro 162,41.1460717,-8.6084878,,
