name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
Autoestrada de Entre-Douro-e-Minho,motorway_link,"['60', '120']",41.17236897457392,-8.594490350001237,264.89,,,
Via de Cintura Interna,motorway,80,41.171770878009504,-8.595459403870082,284.471,,,
Via de Cintura Interna,motorway,80,41.171440642398174,-8.598955210999224,319.88199999999995,,,
Autoestrada de Entre-Douro-e-Minho,motorway_link,"['120', '50', '40']",41.17179855804934,-8.595994091226514,506.41200000000003,viaduct,,
Via de Cintura Interna,motorway,80,41.17162185524172,-8.597202601394033,151.715,,,
Via de Cintura Interna,motorway,80,41.174165321752284,-8.614411709338578,739.0809999999999,yes,,
,motorway_link,,41.17371467186538,-8.617886009594743,148.96499999999997,,,
Via de Cintura Interna,motorway,80,41.17161628567542,-8.63301211796947,1343.7279999999998,yes,,
Via de Cintura Interna,motorway,80,41.1681320664341,-8.640978835453668,211.25900000000001,,,
,motorway_link,"['60', '40']",41.168503870015606,-8.641035950679353,177.257,,,
Via de Cintura Interna,motorway,80,41.1710646429459,-8.634608426256355,1104.387,,,
,motorway_link,,41.16730410583435,-8.643117869420799,232.04000000000002,,,
Via de Cintura Interna,motorway,80,41.166614837745826,-8.643125945393502,154.523,,,
Via de Cintura Interna,motorway,80,41.1653047195028,-8.645708755980564,368.62,,,
Via de Cintura Interna,motorway,80,41.1562149031456,-8.645983813804158,524.8950000000001,"['yes', 'viaduct']",,
Via de Cintura Interna,motorway,80,41.15314947510086,-8.644010144474903,461.165,viaduct,,
,motorway_link,50,41.15022357331385,-8.640772113565605,102.79000000000002,,,
Via de Cintura Interna,motorway,80,41.15033418726547,-8.641081060300035,132.584,,,
Via de Cintura Interna,motorway,80,41.1672768,-8.642161699999999,63.202,,,
,motorway_link,40,41.179725973087685,-8.592215878324735,239.91299999999998,,,
Estrada Interior da Circunvalação,primary,50,41.180046734459474,-8.591115450584514,168.173,,,
Estrada da Circunvalação,primary_link,,41.18072686105281,-8.620889914071867,13.212,,,
,trunk_link,"['50', '40']",41.18102805896357,-8.620391959415553,112.71,,,
,trunk_link,,41.17894471573503,-8.623071529132064,253.36,,,
Via Norte,trunk,70,41.17893461812627,-8.622434681436316,230.452,,,
Autoestrada de Entre-Douro-e-Minho,motorway,120,41.17670318261653,-8.593536968006172,731.575,viaduct,,
,motorway_link,"['60', '40']",41.171868818898666,-8.595795720648027,431.3449999999999,viaduct,,
,motorway_link,60,41.17240885246859,-8.59580801103528,277.204,,,
,motorway_link,40,41.18051766532357,-8.593916304594265,309.8189999999999,,,
Autoestrada de Entre-Douro-e-Minho,motorway,"['120', '80']",41.17702277288265,-8.593702896577067,833.7299999999999,viaduct,,
Rua Central de Francos,residential,,41.1701401555685,-8.637772495356947,93.328,yes,,
Rua de Maria Lamas,residential,,41.17061059863709,-8.638025731569641,35.788,,,
Praça Mouzinho de Albuquerque,primary,,41.158866950000004,-8.62886775,14.104,,,
Avenida da França,secondary,50,41.15939197752275,-8.62872561147509,127.611,,,
Rua Caldas Xavier,secondary,,41.15688595,-8.629422850000001,18.903,,,
,footway,,41.15701395,-8.629391,10.058,,,
Praça Mouzinho de Albuquerque,primary,,41.156962500000006,-8.629311900000001,15.183,,,
Praça Mouzinho de Albuquerque,primary,,41.15815555464875,-8.627928329258644,62.238,,,
Avenida do Marechal Gomes da Costa,secondary,,41.155409318935476,-8.67183023717478,57.775999999999996,,,
