Type,Location,Neighborhood,Residential,Shop,Work,Latitude,Longitude
restaurant,,"Porto, Portugal",,,,41.1504361,-8.6111363
cafe,,"Porto, Portugal",,,,41.1535404,-8.6132606
restaurant,Rua de Fernandes Tomás,"Porto, Portugal",,,,41.1506473,-8.6098691
cafe,Rua de Fernandes Tomás,"Porto, Portugal",,,,41.1506382,-8.6098237
restaurant,Rua do Bonjardim,"Porto, Portugal",,,,41.1525067,-8.6082507
school,,"Porto, Portugal",,,,41.1518507,-8.6072717
cafe,Rua de Passos Manuel,"Porto, Portugal",,,,41.1465801,-8.605383
cafe,,"Porto, Portugal",,,,41.1598565,-8.600814
cafe,,"Porto, Portugal",,,,41.1523461,-8.6073535
cafe,,"Porto, Portugal",,,,41.1510468,-8.6075814
restaurant,,"Porto, Portugal",,,,41.1521258,-8.6073585
restaurant,Rua Fernandes Tomás,"Porto, Portugal",,,,41.1504169,-8.6075335
bank,,"Porto, Portugal",,,,41.1505365,-8.6071037
cafe,Rua de Guedes de Azevedo,"Porto, Portugal",,,,41.1521975,-8.606764
cafe,,"Porto, Portugal",,,,41.1516249,-8.606479
cafe,Rua Sá da Bandeira,"Porto, Portugal",,,,41.1514285,-8.6066052
bank,Rua de Sá da Bandeira,"Porto, Portugal",,,,41.1515336,-8.6065381
bank,Rua de Sá da Bandeira,"Porto, Portugal",,,,41.1511372,-8.606799
cafe,Rua de Guedes de Azevedo,"Porto, Portugal",,,,41.1525976,-8.6076958
clinic,,"Porto, Portugal",,,,41.1532727,-8.6059381
restaurant,,"Porto, Portugal",,,,41.1510544,-8.6058753
restaurant,,"Porto, Portugal",,,,41.1514002,-8.6062993
restaurant,Rua da Firmeza,"Porto, Portugal",,,,41.1508873,-8.6063369
restaurant,,"Porto, Portugal",,,,41.1508832,-8.60594
cafe,,"Porto, Portugal",,,,41.1508844,-8.6064082
cafe,,"Porto, Portugal",,,,41.1502813,-8.6069431
pharmacy,Rua de Fernandes Tomás,"Porto, Portugal",,,,41.1500698,-8.6067219
dentist,Rua de António Cardoso,"Porto, Portugal",,,,41.1575338,-8.6415267
post_office,,"Porto, Portugal",,,,41.1725003,-8.6550541
bank,Avenida do Doutor Antunes Guimarães,"Porto, Portugal",,,,41.172495,-8.6551957
pharmacy,Rua da Venezuela,"Porto, Portugal",,,,41.1571373,-8.6429074
cafe,Rua de Santa Catarina,"Porto, Portugal",,,,41.1475395,-8.6067125
bank,Rua de Damião de Góis,"Porto, Portugal",,,,41.1620299,-8.614908
bank,Rua de Damião de Góis,"Porto, Portugal",,,,41.1618096,-8.6131479
bank,Rua de Damião de Góis,"Porto, Portugal",,,,41.16175,-8.6126181
bank,Rua de Damião de Góis,"Porto, Portugal",,,,41.1617322,-8.6123729
bank,,"Porto, Portugal",,,,41.1630746,-8.6129399
cafe,Rua António Carneiro,"Porto, Portugal",,,,41.1501167,-8.5938254
atm,,"Porto, Portugal",,,,41.1602798,-8.6160358
cafe,Rua da Estação,"Porto, Portugal",,,,41.1483623,-8.5863011
atm,,"Porto, Portugal",,,,41.1626343,-8.6144733
